search URL:,https://patents.google.com/?q=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29&oq=%28%22livestock+waste%22+OR+manure+OR+%22animal+waste%22+OR+%22poultry+litter%22+OR+%22swine+manure%22%29+AND+%28processing+OR+treatment+OR+recycling+OR+utilization%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2115143-B1,Variant buttiauxella sp. phytases having altered properties ,"Danisco US, Inc., Genencor Division","Marguerite A. Cervin, Oliver Kensch, Ulrich Kettling, Steve Kim, Birgitta Leuthner, Andrei Miasnikov, Klaus Pellengahr, Michael Ward",2007-02-07,2008-02-06,2014-07-16,2014-07-16,https://patents.google.com/patent/EP2115143B1/en,https://patentimages.storage.googleapis.com/cb/82/63/14ffb89d1d6e3f/imgf0001.png
US-10099950-B2,Bio-electrochemical system for treating wastewater ,Cambrian Innovation Llc,"Matthew Silver, Justin Buck, Patrick Kiely, Juan J. Guzman",2010-07-21,2011-04-14,2018-10-16,2018-10-16,https://patents.google.com/patent/US10099950B2/en,https://patentimages.storage.googleapis.com/fe/f8/61/cb7025e2893d85/US10099950-20181016-D00000.png
JP-6556825-B2,Senicrivirok for treating fibrosis ,"トビラ セラピューティクス， インコーポレイテッド, トビラ  セラピューティクス，  インコーポレイテッド","エリック ルフェーヴル，, エリック ルフェーヴル，",2014-03-21,2015-03-20,2019-08-07,2019-08-07,https://patents.google.com/patent/JP6556825B2/en,
CN-104719102-B,Organic farming water-fertilizer integral system and method ,北京农业智能装备技术研究中心,"李银坤, 郭文忠, 聂铭君, 王利春, 贾冬冬, 李友丽, 余礼根, 徐凡, 陈红, 孙维拓",2015-03-11,2015-03-11,2016-09-28,2016-09-28,https://patents.google.com/patent/CN104719102B/en,
CA-2714038-C,Plant health composition comprising pyrazole carboxamide pesticides and methods of use. ,"Basf Se, Ronald Wilhelm, Alexander Guttenkunst Prade, Michael Merk, Edson Begliomini, Marlon Ecco, Marco-Antonio Tavares-Rodrigues, Dirk Voeste","Ronald Wilhelm, Alexander Guttenkunst Prade, Michael Merk, Edson Begliomini, Marlon Ecco, Marco-Antonio Tavares-Rodrigues, Dirk Voeste",2008-02-05,2009-02-04,2018-11-13,2018-11-13,https://patents.google.com/patent/CA2714038C/en,
US-8221513-B2,Low oxygen carrier fluid with heating value for feed to transport gasification ,Kellogg Brown & Root Llc,"Siva Ariyapadi, John Abughazaleh, Ravindra K. Agrawal",2008-01-29,2008-01-29,2012-07-17,2012-07-17,https://patents.google.com/patent/US8221513B2/en,https://patentimages.storage.googleapis.com/c6/a9/7e/14d2e71d768eed/US08221513-20120717-D00000.png
CN-101508610-B,Environmental friendly sustained-release long-acting compound fertilizer and method of preparing the same ,吕庆淮,吕庆淮,2009-03-24,2009-03-24,2012-06-13,2012-06-13,https://patents.google.com/patent/CN101508610B/en,
EP-2243353-B1,System and method for managing resource use ,Deere & Company,Noel Wayne Anderson,2009-04-21,2010-04-21,2013-03-06,2013-03-06,https://patents.google.com/patent/EP2243353B1/en,https://patentimages.storage.googleapis.com/4e/d7/e5/80479af99accfa/imgf0001.png
EP-2740747-B1,"Water absorbing resin particles, method for manufacturing water absorbing resin particles, absorption body, absorptive article, and water-sealing material ",Sumitomo Seika Chemicals Co. Ltd.,"Masayoshi Handa, Kenji Tanimura, Atsushi Heguri, Yuichi Onoda",2011-08-03,2012-07-23,2017-03-15,2017-03-15,https://patents.google.com/patent/EP2740747B1/en,https://patentimages.storage.googleapis.com/2b/12/2a/3a43706ebc0489/imgf0001.png
US-9353322-B2,Hydromethanation of a carbonaceous feedstock ,"Greatpoint Energy, Inc.","Pattabhi K. Raman, Veeraya Jiradilok, Earl T. Robinson, Avinash Sirdeshpande",2010-11-01,2011-10-28,2016-05-31,2016-05-31,https://patents.google.com/patent/US9353322B2/en,https://patentimages.storage.googleapis.com/a8/46/53/4b6a83dc218cc3/US09353322-20160531-D00000.png
EP-2504798-B1,Method for measuring weekly and annual emissions of a greenhouse gas over a given surface area ,Tanguy Griffon,Tanguy Griffon,2009-11-26,2010-11-25,2015-01-07,2015-01-07,https://patents.google.com/patent/EP2504798B1/en,https://patentimages.storage.googleapis.com/e7/63/41/c2a367114229fb/imgf0001.png
US-9434615-B2,Method and apparatus for producing liquid biofuel from solid biomass ,Upm-Kymmene Oyj,"Petri Kukkonen, Pekka Knuuttila, Pekka Jokela",2007-07-20,2008-07-18,2016-09-06,2016-09-06,https://patents.google.com/patent/US9434615B2/en,https://patentimages.storage.googleapis.com/d3/b3/0b/89fd1f02b28c0b/US09434615-20160906-D00000.png
US-9181566-B2,Genetic switches for butanol production ,Butamax Advanced Biofuels Llc,"Michael Dauner, Arthur Leo Kruckeberg, Robert A Larossa, Brian James Paul, Wonchul Suh, Joseph Frederich Tuminello",2011-12-30,2012-12-28,2015-11-10,2015-11-10,https://patents.google.com/patent/US9181566B2/en,https://patentimages.storage.googleapis.com/0a/54/ff/3c29010fda9ae6/US09181566-20151110-D00001.png
KR-101882544-B1,Method of operation of process to produce syngas from carbonaceous material ,이네오스 바이오 에스에이,"칭-환 코, 마이클 숀 슬랩, 피터 에스 벨, 김 오페미아",2011-04-06,2012-04-04,2018-07-26,2018-07-26,https://patents.google.com/patent/KR101882544B1/en,https://patentimages.storage.googleapis.com/04/ea/3f/63f28b66eb73fb/112013099685061-pct00001.png
KR-102431676-B1,"Biodegradable resin composition, biodegradable film, mulching film using same, and preperation method thereof ",씨제이제일제당(주),"정민호, 여준석, 문선주, 박정일, 윤기철",2021-07-30,2021-07-30,2022-08-11,2022-08-11,https://patents.google.com/patent/KR102431676B1/en,https://patentimages.storage.googleapis.com/9f/c0/ee/6a0e85e89edef5/112021088641970-pat00002.png
JP-6098000-B2,Method and apparatus for syngas fermentation with high CO mass transfer coefficient ,"イネオス バイオ ソシエテ アノニム, イネオス  バイオ  ソシエテ  アノニム","ピーター シンプソン ベル, ピーター  シンプソン ベル, チン−ワン コ, チン−ワン コ",2011-06-30,2012-05-31,2017-03-22,2017-03-22,https://patents.google.com/patent/JP6098000B2/en,https://patentimages.storage.googleapis.com/53/a8/57/ed56b5fb4d5988/0006098000-3.png
CN-100548932-C,A kind of special formulation fertilizer for rice ,华中农业大学,"鲁剑巍, 邹娟, 黄元仿, 王伟妮",2007-05-29,2007-05-29,2009-10-14,2009-10-14,https://patents.google.com/patent/CN100548932C/en,
US-10639319-B2,Human milk oligosaccharides for preventing injury and/or promoting healing of the gastrointestinal tract ,Abbott Laboratories,"Steven R. Davis, JoMay Chow",2011-08-29,2012-08-13,2020-05-05,2020-05-05,https://patents.google.com/patent/US10639319B2/en,https://patentimages.storage.googleapis.com/40/31/09/ffa58cc7393f7d/US10639319-20200505-D00001.png
CN-102093144-B,Biodegradable coated urea ,施可丰化工股份有限公司,"解永军, 吕庆淮, 邵明生, 张洪福",2011-01-19,2011-01-19,2012-11-21,2012-11-21,https://patents.google.com/patent/CN102093144B/en,
US-8114177-B2,Co-feed of biomass as source of makeup catalysts for catalytic coal gasification ,"Greatpoint Energy, Inc.","Edwin J. Hippo, Pattabhi K. Raman",2008-02-29,2009-02-27,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114177B2/en,https://patentimages.storage.googleapis.com/c7/a5/b1/1e059f3d84ab99/US08114177-20120214-D00000.png
CN-101913952-B,Polyelement composite fertilizer and preparation method and application thereof ,中港泰富(北京)高科技有限公司,"杨国权, 徐磊",2010-09-03,2010-09-03,2013-04-17,2013-04-17,https://patents.google.com/patent/CN101913952B/en,
EP-2994128-B1,Acc inhibitors and uses thereof ,"Gilead Apollo, LLC","Jeremy Robert Greenwood, Geraldine C. Harriman, George Borg, Craig E. Masse",2013-05-10,2014-05-08,2019-01-30,2019-01-30,https://patents.google.com/patent/EP2994128B1/en,
CN-101838167-B,Sterilized type organic fertilizer and method for preparing same ,广东省农业科学院土壤肥料研究所,"徐培智, 解开治, 张发宝, 陈建生, 唐拴虎, 黄旭, 顾文杰, 蒋瑞萍, 李苹, 严超",2009-03-16,2009-03-16,2013-07-10,2013-07-10,https://patents.google.com/patent/CN101838167B/en,
US-8865780-B2,Process for converting biogas to a gas rich in methane ,Haldor Topsoe A/S,John Bogild Hansen,2010-07-09,2010-07-09,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865780B2/en,https://patentimages.storage.googleapis.com/bc/13/61/fc5bfc0c7562f6/US08865780-20141021-D00001.png
AU-2010216282-B2,Amino alcohol solutions of N-(n-butyl)thiophosphoric triamide (NBPT) and urea fertilizers using such solutions as urease inhibitors ,Weyerhaeuser Nr Company,"Brooks Morris Whitehurst, Garnett Brooks Whitehurst",2009-02-17,2010-02-03,2012-08-23,2012-08-23,https://patents.google.com/patent/AU2010216282B2/en,
EP-2927315-B1,Methods and compositions for producing fatty acids and fatty alcohols ,"REG Life Sciences, LLC","Andreas Schirmer, Mathew Rude, Shane Brubaker",2008-05-16,2009-05-18,2018-09-19,2018-09-19,https://patents.google.com/patent/EP2927315B1/en,https://patentimages.storage.googleapis.com/81/97/56/0525992b3e1c57/imgf0001.png
CN-102757292-B,Water-soluble microbial multi-element solid fertilizer ,"新疆农垦科学院农业新技术推广服务中心, 石河子开发区三益化工有限责任公司","王军, 关新元, 尹飞虎, 李永生, 陈云",2012-05-17,2012-05-17,2013-11-13,2013-11-13,https://patents.google.com/patent/CN102757292B/en,
AU-2007217821-B2,Photobioreactor and uses therefor ,"The Arizona Board Of Regents, A Body Corporate Acting On Behalf Of Arizona State University","Qiang Hu, Milton Summerfeld",2006-02-21,2007-02-20,2012-06-14,2012-06-14,https://patents.google.com/patent/AU2007217821B2/en,
US-8114419-B2,Nucleic acid compositions for stimulating immune responses ,"Coley Pharmaceutical Group, Inc.",Arthur M. Krieg,2002-07-03,2009-05-26,2012-02-14,2012-02-14,https://patents.google.com/patent/US8114419B2/en,https://patentimages.storage.googleapis.com/29/fd/0a/b3c9af0bb9e8ad/US08114419-20120214-D00001.png
KR-101419980-B1,Compositions and methods for analysis of nucleic acid molecules during amplification reactions ,"홀로직, 인크.","하팀 티. 알라위, 빅터 아이 리아미세프",2008-03-15,2009-03-13,2014-07-15,2014-07-15,https://patents.google.com/patent/KR101419980B1/en,https://patentimages.storage.googleapis.com/24/27/94/241ac7e2a6fae7/112010066530713-pct00001.png
CN-105952461-B,"A kind of experimental rig and method for being used to simulate earth pressure balanced shield, EPBS construction sediment improvement ",西南交通大学,"方勇, 邓如勇, 郭建宁, 雷帅",2016-06-17,2016-06-17,2017-12-29,2017-12-29,https://patents.google.com/patent/CN105952461B/en,
CN-102503642-B,Preparation method of organic and inorganic compound fertilizer special for tobaccos ,河南农业大学,"陈红丽, 杨永锋, 刘国顺, 张胜, 徐敏, 宋晶, 王生才",2011-10-31,2011-10-31,2014-01-22,2014-01-22,https://patents.google.com/patent/CN102503642B/en,
CN-102498890-B,A kind of less-tillage and mulching cultivation method of lemon orchard ,"云南省农业科学院热带亚热带经济作物研究所, 云南省农业科学院农业环境资源研究所","李进学, 朱红业, 高俊燕, 岳建强, 雷宝坤, 潘艳华, 杨恩聪, 朱春华, 李晶",2011-11-08,2011-11-08,2012-11-14,2012-11-14,https://patents.google.com/patent/CN102498890B/en,https://patentimages.storage.googleapis.com/8c/78/ba/000f936a435db5/111108232723.png
CA-2631237-C,"Method and apparatus for optimization of an agricultural application operation using weather, product and environmental information ","Cnh America Llc, Keith W. Wendte, Martin B. Rund, Cnh Industrial America Llc","Keith W. Wendte, Martin B. Rund",2007-10-12,2008-04-30,2015-12-22,2015-12-22,https://patents.google.com/patent/CA2631237C/en,
US-8321365-B2,Horticultural knowledge base for managing yards and gardens ,Deere & Company,Noel Wayne Anderson,2009-04-21,2009-04-21,2012-11-27,2012-11-27,https://patents.google.com/patent/US8321365B2/en,https://patentimages.storage.googleapis.com/69/e0/0e/275bd54d952f63/US08321365-20121127-D00000.png
KR-101426973-B1,Method and apparatus for detecting the presence of multiple excretions in an absorbent article ,"킴벌리-클라크 월드와이드, 인크.","토마스 엠. 3세 알레스, 컬렌 패트릭 로트로프",2006-12-15,2007-11-14,2014-08-06,2014-08-06,https://patents.google.com/patent/KR101426973B1/en,https://patentimages.storage.googleapis.com/71/3f/54/17b99cbbbcf97a/112009035645231-pct00001.png
EP-2633460-B1,System and method for calibrating agricultural measurements ,Trimble Inc.,"Robert J. Lindores, Ted E. Mayfield, Morrison Ulman",2010-10-25,2011-09-27,2019-08-14,2019-08-14,https://patents.google.com/patent/EP2633460B1/en,https://patentimages.storage.googleapis.com/d3/40/c8/3ec6d04bca9a44/imgf0001.png
CN-101139234-B,Nuisance-free medical fertilizers for prevention and curing of nematode and underground pest and production process thereof ,淮安市农业科学研究院,"吴传万, 杜小凤, 王伟中, 杨文飞, 文廷刚",2007-08-13,2007-08-13,2011-03-30,2011-03-30,https://patents.google.com/patent/CN101139234B/en,
US-8121691-B2,Voiding event identification based on patient input ,"Medtronic, Inc.","Martin T. Gerber, John C. Rondoni",2007-05-30,2007-05-30,2012-02-21,2012-02-21,https://patents.google.com/patent/US8121691B2/en,https://patentimages.storage.googleapis.com/da/a0/ad/a01b68bf67d0d0/US08121691-20120221-D00000.png
JP-6158808-B2,Systems and methods for processing fluids ,"セイジ サイエンス，インコーポレイティド, セイジ  サイエンス，インコーポレイティド","ボールズ ティー．クリスチャン, ボールズ ティー．クリスチャン, エス．アブラムス エズラ, エス．アブラムス エズラ",2011-08-04,2012-08-03,2017-07-05,2017-07-05,https://patents.google.com/patent/JP6158808B2/en,
CN-101560124-B,Composition and preparation method of compound fertilizer special for fruit tree ,陕西省微生物研究所,"姚培鑫, 田稼, 孙超, 杨明琰, 张晓琦",2009-05-27,2009-05-27,2012-07-04,2012-07-04,https://patents.google.com/patent/CN101560124B/en,https://patentimages.storage.googleapis.com/c6/9e/bf/1c5cfa3e46eb9b/H2009100227353E00011.png
EP-3414983-B1,"Seed coatings, coating compositions and methods for use ",Rhodia Operations,"Jean-Christophe Castaing, Pengfei Ji, Galder Cristobal, Zhiyun Chen",2011-02-28,2012-02-28,2021-08-18,2021-08-18,https://patents.google.com/patent/EP3414983B1/en,
DE-102014226358-B4,Apparatus and method for detecting surface pollution of a vehicle ,Bayerische Motoren Werke Aktiengesellschaft,"Claudia Langner, Daniel Liebau",2014-12-18,2014-12-18,2019-04-11,2019-04-11,https://patents.google.com/patent/DE102014226358B4/en,https://patentimages.storage.googleapis.com/6f/7d/84/c503b39d7f211e/DE102014226358B4_0001.png
US-7884253-B2,Methods and apparatus for selectively producing ethanol from synthesis gas ,"Range Fuels, Inc.","Ronald C. Stites, Jerrod Hohman",2008-12-11,2009-08-25,2011-02-08,2011-02-08,https://patents.google.com/patent/US7884253B2/en,https://patentimages.storage.googleapis.com/4e/35/92/fda715802ac2ef/US07884253-20110208-D00001.png
US-8197664-B2,Onsite integrated production factory ,"M Hikari & Energy Laboratory Co., Ltd.",Masataka Murahara,2007-05-11,2009-11-10,2012-06-12,2012-06-12,https://patents.google.com/patent/US8197664B2/en,https://patentimages.storage.googleapis.com/79/c2/c4/6a554174745119/US08197664-20120612-D00000.png
CA-2662492-C,Pickering emulsion formulations ,"Jeffrey Fowler, Syngenta Participations Ag",Jeffrey Fowler,2006-09-06,2007-08-30,2014-12-16,2014-12-16,https://patents.google.com/patent/CA2662492C/en,
US-9181157-B2,"Production of alpha, omega-diols ",E I Du Pont De Nemours And Company,"Alan Martin Allgeier, Torren Ryan CARLSON, David Richard Corbin, Wathudura Indika Namal De Silva, Ekaterini Korovessi, Carl Andrew Menning, Joachim C Ritter, Sourav Kumar Sengupta",2012-04-27,2014-12-12,2015-11-10,2015-11-10,https://patents.google.com/patent/US9181157B2/en,
EP-2010643-B1,Fermentive production of four carbon alcohols ,Butamax (TM) Advanced Biofuels LLC,"Gail K. Donaldson, Andrew C. Eliot, Vasantha Nagarajan, Charles E. Nakamura, Jean-Francois Tomb",2006-05-02,2007-05-02,2013-10-09,2013-10-09,https://patents.google.com/patent/EP2010643B1/en,https://patentimages.storage.googleapis.com/63/94/6c/8c28f5029efd30/imgf0001.png
RU-2460074-C2,Microorganisms and their fractions inducing carbohydrate-specific cell immunity ,Гликотоп Гмбх,"Штеффен ГОЛЕТЦ (DE), Штеффен Голетц, Филипп ЮЛЬСЕМЕ (DE), Филипп Юльсеме, Аня ЛЕФФЛЕР (DE), Аня Леффлер",2006-11-10,2007-11-12,2012-08-27,2012-08-27,https://patents.google.com/patent/RU2460074C2/en,https://patentimages.storage.googleapis.com/da/fa/5f/b6daca125152f5/00000001.png
EP-2716607-B1,"Hybrid artificial wetland water purification system, sewage treatment device using same, and natural nonpoint purification device capable of simultaneously purifying river and lake water ","Sung Il En-Tech Co. Ltd., Korbi Co., Ltd.","Sung Chul Kim, Gwang Ju Cho, Goo Hyeon Park, Moon Sik Hyun, Hee Jin Yang, Seol Hee Han",2011-05-24,2011-11-30,2019-11-13,2019-11-13,https://patents.google.com/patent/EP2716607B1/en,https://patentimages.storage.googleapis.com/5e/64/ee/7620b7e36f245b/imgf0001.png
US-7718197-B2,Colonic purgative composition with soluble binding agent ,"Salix Pharmaceuticals, Ltd.","Stephen Skiendzielewski, Martin Rose, Ngoc Do",2003-11-19,2008-03-13,2010-05-18,2010-05-18,https://patents.google.com/patent/US7718197B2/en,https://patentimages.storage.googleapis.com/47/6b/8a/f4299d4137e4c3/US07718197-20100518-D00000.png
AU-2009256036-B2,Materials And Process For Enhancing Selective Separations ,Georgia-Pacific Chemicals Llc,"Pablo G. Dopico, John B. Hines, Brian L. Swift",2008-06-05,2009-06-05,2016-01-14,2016-01-14,https://patents.google.com/patent/AU2009256036B2/en,
JP-6069882-B2,Agricultural management system ,三菱電機株式会社,"敬一郎 永島, 敬一郎 永島, 古川　敏雄, 敏雄 古川, 小澤　正, 正 小澤, 伸幸 田嶋, 伸幸 田嶋, 武内　景治, 景治 武内, 貴章 石川, 貴章 石川",2012-04-27,2012-04-27,2017-02-01,2017-02-01,https://patents.google.com/patent/JP6069882B2/en,https://patentimages.storage.googleapis.com/29/1c/3c/656be68012e56c/0006069882-2.png
US-8205566-B2,Single disc liquid fertilizer opener ,Howard D Martin,Howard D Martin,2005-08-30,2010-09-14,2012-06-26,2012-06-26,https://patents.google.com/patent/US8205566B2/en,https://patentimages.storage.googleapis.com/0b/b0/4d/806ea0eef8546a/US08205566-20120626-D00000.png
EP-2271741-B1,Fermentive production of four carbon alcohols ,Butamax Advanced Biofuels LLC,"Gail K. Donaldson, Andrew C. Eliot, Lori Ann Maggio-Hall, Vasantha Nagarajan, Charles E. Nakamura, Jean-Francois Tomb",2008-04-29,2008-05-16,2014-06-04,2014-06-04,https://patents.google.com/patent/EP2271741B1/en,https://patentimages.storage.googleapis.com/39/a9/c4/d06b1413f2dcaf/imgf0001.png
CN-104030819-B,A kind of water keeping fertilizer and preparation method thereof ,山东宝源生物科技股份有限公司,"刘伟, 门庆永, 刘勇",2014-06-17,2014-06-17,2016-03-30,2016-03-30,https://patents.google.com/patent/CN104030819B/en,
EP-2453851-B1,Ostomy containment device ,Stimatix Gi Ltd.,"David Hanuka, Meir Or",2009-07-14,2010-07-14,2014-10-29,2014-10-29,https://patents.google.com/patent/EP2453851B1/en,https://patentimages.storage.googleapis.com/53/ca/94/df4852d0915bc2/imgf0001.png
JP-5129223-B2,Transgenic plants exhibiting increased nitrogen assimilation ,ニューヨーク・ユニバーシティ,"エム． コルッツィ，グローリア, ブレアーズ，ティモシー",1993-10-06,2009-10-28,2013-01-30,2013-01-30,https://patents.google.com/patent/JP5129223B2/en,https://patentimages.storage.googleapis.com/38/4a/23/6a6a4bffa69b40/0005129223-10.png
US-8833369-B2,Breathing air filtration devices ,"Airware, Inc.","David M. Dolezal, John D. Wilder, Daniel M. Gelfman",2004-03-19,2008-01-30,2014-09-16,2014-09-16,https://patents.google.com/patent/US8833369B2/en,https://patentimages.storage.googleapis.com/07/34/ca/4d5cf7799825b8/US08833369-20140916-D00000.png
EP-2655993-B1,Modular plant for performing conversion processes of carbonaceous matrices ,Sea Marconi Technologies Di Vander Tumiatti S.a.s.,"Vander Tumiatti, Michela Tumiatti, Shubhender Kapila, Francesco Lenzi, Carlo Roggero",2010-12-23,2011-12-22,2018-07-18,2018-07-18,https://patents.google.com/patent/EP2655993B1/en,https://patentimages.storage.googleapis.com/99/7c/9b/55a36877b934e8/imgf0001.png
JP-5312469-B2,Equipment and systems for incontinence ,リニュー メディカル インコーポレイテッド,"ティダール シャロン，, ガイ コットリズキー，",2007-11-08,2008-11-05,2013-10-09,2013-10-09,https://patents.google.com/patent/JP5312469B2/en,https://patentimages.storage.googleapis.com/d1/b4/84/eeb1cf42bb75df/0005312469-2.png
US-9463417-B2,Low emission power generation systems and methods incorporating carbon dioxide separation ,Exxonmobil Upstream Research Company,"Russell H. Oelkfe, Richard A. Huntington, Franklin F. Mittricker",2011-03-22,2012-03-05,2016-10-11,2016-10-11,https://patents.google.com/patent/US9463417B2/en,https://patentimages.storage.googleapis.com/7a/f1/95/c0236eb1f58aa6/US09463417-20161011-D00000.png
RU-2616620-C2,Manufacture of chemicals and fuels from biomass ,"Вайрент, Инк.","Мин ЦЯО, Элизабет М. ВУДС, Пол МИРЕН, Рэнди Д. КОРТРАЙТ, Джон КАНИА",2011-05-23,2012-05-23,2017-04-18,2017-04-18,https://patents.google.com/patent/RU2616620C2/en,https://patentimages.storage.googleapis.com/b7/90/bf/e7f92efd0a447e/00000008.png
US-8435738-B2,Systems and methods for multi-analysis ,"Theranos, Inc.",Elizabeth Holmes,2011-09-25,2011-09-26,2013-05-07,2013-05-07,https://patents.google.com/patent/US8435738B2/en,https://patentimages.storage.googleapis.com/06/50/d0/81b3cf4a76c711/US08435738-20130507-D00000.png
US-8451449-B2,Optical real-time soil sensor ,Kyle H. Holland,Kyle H. Holland,2009-10-30,2010-10-28,2013-05-28,2013-05-28,https://patents.google.com/patent/US8451449B2/en,https://patentimages.storage.googleapis.com/8c/4c/67/64e4ae5c1696db/US08451449-20130528-D00000.png
US-8429849-B2,Compressed coconut coir pith granules and methods for the production and use thereof ,"Oms Investments, Inc.","Marcus BERTIN, Eric Nelson, Mark Yelanich",2007-10-29,2011-07-26,2013-04-30,2013-04-30,https://patents.google.com/patent/US8429849B2/en,https://patentimages.storage.googleapis.com/1a/26/d7/31556734aaf67d/US08429849-20130430-D00000.png
US-2019225521-A1,"Systems, apparatus, and/or methods for providing liquid treatment comprising at least one of disinfection, filtration and/or purification ",Stephan HEATH,Stephan HEATH,2018-01-24,2019-01-24,2019-07-25,,https://patents.google.com/patent/US20190225521A1/en,https://patentimages.storage.googleapis.com/81/0e/4c/dcefdbf350fb69/US20190225521A1-20190725-D00000.png
US-9580363-B2,Nitrogen-fixing bacterial inoculant for improvement of crop productivity and reduction of nitrous oxide emission ,Temasek Life Sciences Laboratory Limited,"Madhaiyan Munusamy, Lianghui Ji",2012-03-21,2013-03-20,2017-02-28,2017-02-28,https://patents.google.com/patent/US9580363B2/en,https://patentimages.storage.googleapis.com/55/6e/85/daf3d7f1d037e9/US09580363-20170228-D00001.png
CA-2840990-C,Air seeder monitoring and equalization system using acoustic sensors ,"Appareo Systems, Llc, Joshua N. Gelinske, Adam A. Reich, Barry D. Batcheller, Intelligent Agricultural Solutions, Llc","Joshua N. Gelinske, Adam A. Reich, Barry D. Batcheller",2011-03-11,2012-03-12,2017-04-18,2017-04-18,https://patents.google.com/patent/CA2840990C/en,
US-8062098-B2,High speed flat lapping platen ,Duescher Wayne O,Wayne O. Duescher,2000-11-17,2008-07-07,2011-11-22,2011-11-22,https://patents.google.com/patent/US8062098B2/en,https://patentimages.storage.googleapis.com/08/59/ef/3ee2bd3e62ebac/US08062098-20111122-D00000.png
JP-5358103-B2,Automatic urine treatment equipment ,"ユニ・チャーム株式会社, 株式会社日立製作所","一郎 和田, 未央 鈴木, 良輔 宮川, 哲也 田中, 義和 石塚",2008-02-14,2008-02-14,2013-12-04,2013-12-04,https://patents.google.com/patent/JP5358103B2/en,https://patentimages.storage.googleapis.com/7e/45/56/af5b40a5ee97e3/0005358103-2.png
US-8211653-B2,Methods and systems of using exosomes for determining phenotypes ,"Caris Life Sciences Luxembourg Holdings, S.A.R.L.","Michael KLASS, Christine Kuslich, George Poste",2008-11-12,2011-01-19,2012-07-03,2012-07-03,https://patents.google.com/patent/US8211653B2/en,https://patentimages.storage.googleapis.com/41/ea/7b/c47f80ad5f6c73/US08211653-20120703-D00001.png
US-7741123-B2,Microfluidic device with thin-film electronic devices ,"Hewlett-Packard Development Company, L.P.","Grant Pease, Adam L Ghozeil, John Stephen Dunfield, Winthrop D. Childers, David Tyvoll, Douglas A. Sexton, Paul Crivelli",2003-01-31,2008-02-11,2010-06-22,2010-06-22,https://patents.google.com/patent/US7741123B2/en,https://patentimages.storage.googleapis.com/d7/cf/70/7b064304f39608/US07741123-20100622-D00000.png
KR-101933147-B1,"Soil composition, soil conditioner, organic fertilizer using biochar and useful microorganism, and preparation method of the same ",주식회사 케이디아그로,김명훈,2017-04-13,2017-04-13,2019-03-15,2019-03-15,https://patents.google.com/patent/KR101933147B1/en,https://patentimages.storage.googleapis.com/06/04/40/b8cd47a665adc5/112017036212433-pat00013.png
EP-4014982-B1,Composition for inducing proliferation or accumulation of regulatory t cells ,The University of Tokyo,"Kenya Honda, Koji Atarashi, Kikuji Itoh, Takeshi Tanoue",2010-06-04,2011-06-03,2025-08-20,2025-08-20,https://patents.google.com/patent/EP4014982B1/en,
US-8586345-B2,Electroprocessed collagen and tissue engineering ,Virginia Commonwealth University Intellectual Property Foundation,"David G. Simpson, Gary L. Bowlin, Gary E. Wnek, Peter J. Stevens, Marcus E. Carr, Jamil A. Matthews, Saravanamoorthy Rajendran",1999-02-25,2011-03-21,2013-11-19,2013-11-19,https://patents.google.com/patent/US8586345B2/en,https://patentimages.storage.googleapis.com/ad/56/1b/65aba0f02baf8f/US08586345-20131119-D00001.png
JP-6755949-B2,Sheep bath incubator for preterm infants (incubator) ,アムニオン・ライフ・リミテッド・ライアビリティ・カンパニー,"ファシヒ，アミール, ラドヴァノビッチ，ミロス・リュビサ",2015-11-06,2016-11-03,2020-09-16,2020-09-16,https://patents.google.com/patent/JP6755949B2/en,https://patentimages.storage.googleapis.com/d2/8e/0d/6651f532d8dbd9/0006755949-2.png
CN-104193546-B,"A kind ofly reduce cadmium, the composite soil passivator of lead content and preparation and application thereof ",湖南省微生物研究院,"单世平, 郭照辉, 张德元, 杜东霞, 刘前刚, 程伟, 黄军, 王玉双, 付祖姣, 伍善东",2014-08-06,2014-08-06,2016-04-06,2016-04-06,https://patents.google.com/patent/CN104193546B/en,
US-7926750-B2,Compactor feeder ,"Greatpoint Energy, Inc.",William B. Hauserman,2008-02-29,2009-02-27,2011-04-19,2011-04-19,https://patents.google.com/patent/US7926750B2/en,https://patentimages.storage.googleapis.com/30/7a/75/e463eededb9bb9/US07926750-20110419-D00000.png
CN-102424640-B,Two-layer coated water-retaining sustained-release fertilizer and preparation method thereof ,山东喜丰田生态肥业有限公司,曹郁,2011-09-17,2011-09-17,2012-09-19,2012-09-19,https://patents.google.com/patent/CN102424640B/en,https://patentimages.storage.googleapis.com/e8/ec/c1/0f4c32652bc8af/110917123544.png
CN-103951515-B,"A kind of ecological agriculture cultivating soil, its preparation method and application thereof ",靳玉环,靳玉环,2014-05-04,2014-05-04,2015-12-02,2015-12-02,https://patents.google.com/patent/CN103951515B/en,
